,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,49,4,1,1,0,321,0,0,2,9,6,135,3,-1,0,3,0
1,28,4,1,2,0,318,1,0,2,27,8,4,4,-1,0,3,0
2,42,2,0,2,1,2,1,0,2,5,8,380,1,-1,0,3,0
3,47,6,1,1,1,2,0,0,0,5,3,236,2,-1,0,3,0
4,27,4,1,2,0,802,0,0,0,22,11,569,1,-1,0,3,1
5,52,9,1,1,0,196,1,1,0,24,3,116,1,273,3,0,0
6,43,11,1,2,0,1937,0,0,2,19,6,385,1,-1,0,3,0
7,34,4,2,2,0,171,1,0,0,7,8,191,1,294,1,0,0
8,32,7,2,1,0,0,1,0,0,31,5,99,13,-1,0,3,0
9,58,5,1,0,0,565,0,0,1,7,5,876,1,-1,0,3,1
10,44,4,1,2,0,1242,1,0,0,6,1,384,6,-1,0,3,0
11,30,8,2,1,0,25,0,0,1,30,0,44,1,-1,0,3,0
12,32,4,2,2,0,2343,0,0,0,18,5,226,1,-1,0,3,0
13,53,1,1,0,0,53,1,0,0,7,0,208,1,140,1,0,0
14,58,9,0,1,0,-123,0,0,0,5,1,131,2,-1,0,3,0
15,35,4,2,2,0,0,0,1,0,14,1,370,4,-1,0,3,0
16,31,4,1,2,0,1010,1,0,0,15,8,385,3,364,9,1,0
17,43,0,1,1,0,264,1,0,0,17,0,113,2,-1,0,3,0
18,52,4,1,2,0,-1224,1,0,0,7,8,253,4,-1,0,3,0
19,39,4,2,1,0,36,0,0,0,29,1,70,2,-1,0,3,0
20,28,4,2,2,0,80,0,0,0,20,10,676,2,146,2,0,1
21,46,0,0,1,0,2232,0,0,0,13,3,121,1,-1,0,3,1
22,23,1,2,0,0,8627,1,0,0,15,8,169,1,346,1,0,0
23,45,6,1,2,0,334,0,0,2,5,6,87,2,-1,0,3,0
24,36,7,2,1,0,417,1,0,0,6,3,15,10,207,3,0,0
25,32,1,2,1,0,2,0,0,2,9,8,144,2,-1,0,3,0
26,26,0,2,2,0,3672,1,0,2,29,8,360,5,-1,0,3,0
27,46,4,0,2,0,134,0,0,0,19,1,134,2,-1,0,3,0
28,58,9,1,1,0,175,0,0,0,12,1,92,4,-1,0,3,0
29,48,1,1,1,0,480,1,0,0,15,8,830,1,352,2,0,1
